,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
187,False,/ullfy98STkno11rDGi44SK6llwx.jpg,"[16, 35]",96316,['JP'],ja,彼女、お借りします,"Kinoshita Kazuya is a 20-year-old failure of a college student. He managed to kiss his girlfriend once, but was dumped after a month. Completely spiteful, Kazuya uses a certain method to date a girl. He goes to their meeting place and a beautiful girl brushing her long, black hair behind her ear was there, smiling at him. Her name was Mizuhara Chizuru. Something real is born after just a single rental! A reckless rom-com filled with love and excitement is about to begin!",148.119,/6ZpDPUNtVw6UdJoStvVlRZ62yAi.jpg,2020-07-11,Rent-a-Girlfriend,8.455,832
188,False,/shat7d2no6y7p29568WprhohTAu.jpg,"[16, 35, 18]",74081,['JP'],ja,ブレンド・S,"High school girl Maika Sakuranomiya has trouble finding a part-time job because of how scary she looks when smiling. However, she is scouted one day by Dino, the manager of the café Stile where its waitresses play unique traits such as tsundere and younger sister. Maika is given a sadist trait because of her looks and has to adopt a dominant and cruel persona when servicing customers, particularly masochist ones.",36.906,/cRN22Xeb4kZ3GVBdfIJVPgD3ZH0.jpg,2017-10-08,Blend · S,8.5,231
189,False,/2Nwbv0hrN8sThLvgooShcPqmFrO.jpg,[99],58474,['US'],en,Cosmos,Famed astrophysicist Neil deGrasse Tyson provides clarity for the vision of the cosmos as he voyages across the universe with never-before-told stories that delve into the scientific concepts of the laws of gravity and the origins of space and time.,108.723,/5o07ps0QZ0bNoRYxTn9cPdRWlUu.jpg,2014-03-09,Cosmos,8.454,1441
190,False,/gDvxT2z6TNxervG97WfpePRZ3aR.jpg,"[16, 10765, 9648, 35]",42509,['JP'],ja,Steins;Gate,"A group of friends have customized their microwave so that it can send text messages to the past. As they perform different experiments, an organization named SERN who has been doing their own research on time travel tracks them down and now the characters have to find a way to avoid being captured by them.",115.067,/6iysgZr6Upm5RlAlVFo5f4D9euu.jpg,2011-04-06,Steins;Gate,8.452,691
191,False,/8nUD1zMrJhQOvA2AdRrVYHysgBw.jpg,"[16, 18, 35]",68854,['JP'],ja,君に届け,"Nicknamed ""Sadako"" for her spooky appearance, high schooler Sawako begins to break out of her shell when she befriends popular boy Kazehaya.",91.535,/kka0aBfSmhxYopCW0FzDWzljRhG.jpg,2009-10-07,kimi ni todoke -From Me to You-,8.5,265
192,False,/tmgtlnBnoFvk52xZBO7Z0pTmN9b.jpg,[18],197067,['KR'],ko,이상한 변호사 우영우,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,77.082,/zuNOQVI4rEaqwknrfQUVKtlKE2C.jpg,2022-06-29,Extraordinary Attorney Woo,8.45,654
193,False,/zkc2FkVymJDNXisS1mgpr8Ip2J.jpg,"[16, 35, 10759, 10765]",62110,['JP'],ja,暗殺教室,"The students of Class 3-E have a mission: kill their teacher before graduation. He has already destroyed the moon, and has promised to destroy the Earth if he can not be killed within a year. But how can this class of misfits kill a tentacled monster, capable of reaching Mach 20 speed, who may be the best teacher any of them have ever had?",122.55,/qf0l0nQ2t06Es3cSXflqx6l6vsJ.jpg,2015-01-10,Assassination Classroom,8.45,984
194,False,/dyBkTBcRIw5BC78zCauyrRm5EhJ.jpg,"[18, 10766, 10768]",108291,['KR'],ko,설강화,"An enduring love story in 1987 Seoul; Youngro, a female university student, treats the bleeding Suho, a student attending a prestigious university, who one day jumps into a women's university dormitory despite the dangerous situation.",37.307,/3AhTqNJVr1v7Jfplg8Y1YOzzdWE.jpg,2021-12-18,Snowdrop,8.448,231
195,False,/4ILR1s7X1vpD8ZzP7XGIMOc4H0Z.jpg,[99],128876,"['NZ', 'GB', 'US']",en,The Beatles: Get Back,"The three-part documentary series, compiled from over 60 hours of unseen footage, captures the warmth, camaraderie, and creative genius that defined the legacy of music’s most iconic foursome. The series also includes – for the first time in its entirety – The Beatles’ final performance at London’s Savile Row.",23.294,/fJaJWwlGGC2Dqljq3Ih4HZHRdPZ.jpg,2021-11-25,The Beatles: Get Back,8.4,319
196,False,/nC74XDzNd2F7hH8q0XqyZfzLV5D.jpg,"[10759, 16, 10765]",62104,['JP'],ja,七つの大罪,"The “Seven Deadly Sins”—a group of evil knights who conspired to overthrow the kingdom of Britannia—were said to have been eradicated by the Holy Knights, although some claim that they still live. Ten years later, the Holy Knights have staged a Coup d'état and assassinated the king, becoming the new, tyrannical rulers of the kingdom. Elizabeth, the king's only daughter, sets out on a journey to find the “Seven Deadly Sins,” and to enlist their help in taking back the kingdom.",26.484,/gxTojpKEOtue85EEFlozwRbDXwJ.jpg,2014-10-05,The Seven Deadly Sins,8.448,4801
197,False,/rIe3PnM6S7IBUmvNwDkBMX0i9EZ.jpg,"[10765, 18, 10759]",1399,['US'],en,Game of Thrones,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",955.978,/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,2011-04-17,Game of Thrones,8.446,22795
198,False,/9zcbqSxdsRMZWHYtyCd1nXPr2xq.jpg,"[10765, 10759, 18]",82856,['US'],en,The Mandalorian,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",278.172,/eU1i6eHXlzMOlEq0ku1Rzq7Y4wA.jpg,2019-11-12,The Mandalorian,8.444,9666
199,False,/bDFb2S3jPm3vGfiHkaf1E2ZabBC.jpg,"[16, 35]",68188,['JP'],ja,私がモテてどうすんだ,"Kae Serinuma is a second year high school student and an avid fujoshi who secretly ships her classmates, Igarashi and Nanashima. The death of her favorite anime character causes her to become stressed and lose weight rapidly. Now that Serinuma has become an attractive girl to her classmates, snarky junior Shinomiya and senior Mutsumi, how is she going to deal with them with her constant BL-filled fujoshi mind?",31.849,/aFjVWEAK2CZVGqUCFZjktqErWbh.jpg,2016-10-07,"Kiss Him, Not Me",8.444,296
200,False,/l0qVZIpXtIo7km9u5Yqh0nKPOr5.jpg,[35],1668,['US'],en,Friends,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",688.985,/2koX1xLkpTQM4IZebYvKysFW1Nh.jpg,1994-09-22,Friends,8.443,7576
201,False,/tsf3msEsM0uTbtsuwmtSQnje4zJ.jpg,"[16, 10765, 18]",73833,['JP'],ja,魔法使いの嫁,"Hatori Chise has lived a life full of neglect and abuse, devoid of anything resembling love. Far from the warmth of family, she has had her share of troubles and pitfalls. Just when all hope seems lost, a fateful encounter awaits her. When a man with the head of a beast, wielding strange powers, obtains her through a slave auction, Chise's life will never be the same again.

The man is a ""magus,""a sorcerer of great power, who decides to free Chise from the bonds of captivity. The magus then makes a bold statement: Chise will become his apprentice--and his bride!",205.005,/8jnA4eaJLj3GByaYIw2JroVln40.jpg,2017-10-08,The Ancient Magus' Bride,8.441,341
202,False,/mNHRGO1gFpR2CYZdANe72kcKq7G.jpg,"[80, 18]",153312,['US'],en,Tulsa King,"Just after he is released from prison after 25 years, New York mafia capo Dwight “The General” Manfredi is unceremoniously exiled by his boss to set up shop in Tulsa, Okla. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a “crew” from a group of unlikely characters, to help him establish a new criminal empire in a place that to him might as well be another planet.",127.066,/fwTv3RPRAIy0maOMns5eYRRwnDk.jpg,2022-11-13,Tulsa King,8.439,1497
203,False,/d8bAI2EDM7L2q94wDZfjb82KRoh.jpg,"[16, 35, 10765]",91801,['JP'],ja,魔入りました！入間くん,"Fourteen-year-old Suzuki Iruma has just been abandoned and sold to a demon by his irresponsible parents! Surprisingly, the next thing he knows he's living with the demon who has adopted him as his new grandson and has been transferred into a school in the Netherworld where his new demon grandfather works as the principal. Thus begins the cowardly Iruma-kun's extraordinary school life among the otherworldly as he faces his true self, takes on challenges, and rises to become someone great.",92.442,/aed6I1EMR4Lbk8bdikWrndbn5Og.jpg,2019-10-05,Welcome to Demon School! Iruma-kun,8.438,243
